ћарка;—сылка;÷ена в доллорах;÷ена в гривн€х;√ород
Jaguar XF 3.0D јT (300 л.с.) RWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718676.html;72 766 $;2 113 056 грн;’арьков
Jaguar F-Pace 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718654.html;74 413 $;2 160 906 грн;’арьков
Jaguar E-Pace 2.0D MT (150 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718466.html;47 203 $;1 370 743 грн;’арьков
Jaguar XF 2.0D i4 јT (180 л.с.) RWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1601710.html;54 640 $;1 586 706 грн;’арьков
Jaguar XF 2.0D јT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1601714.html;54 860 $;1 593 086 грн;’арьков
Jaguar E-Pace 2.0 AT (300 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718507.html;61 857 $;1 796 289 грн;’арьков
Jaguar XE 2.0 AT (200 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1512247.html;45 303 $;1 315 556 грн;’арьков
Jaguar E-Pace 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718487.html;55 717 $;1 617 968 грн;’арьков
Jaguar XF 2.0 AT (250 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718681.html;50 795 $;1 475 056 грн;’арьков
Jaguar XF 2.0 AT (200 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718679.html;54 311 $;1 577 136 грн;’арьков
Jaguar XE 2.0 AT (300 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1718697.html;58 683 $;1 704 098 грн;’арьков
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718473.html;53 333 $;1 548 745 грн;’арьков
Jaguar XF 2.0D јT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718675.html;68 811 $;1 998 216 грн;’арьков
Jaguar E-Pace 2.0 AT (300 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718508.html;66 153 $;1 921 018 грн;’арьков
Jaguar XF 2.0D i4 MT (180 л.с.) RWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1535722.html;57 936 $;1 682 406 грн;’арьков
Jaguar XF 2.0D i4 јT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1641675.html;64 087 $;1 861 046 грн;’арьков
Jaguar XF 2.0 AT (250 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718685.html;53 761 $;1 561 186 грн;’арьков
Jaguar E-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718498.html;52 575 $;1 526 734 грн;’арьков
Jaguar E-Pace 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718484.html;56 606 $;1 644 126 грн;’арьков
Jaguar XE 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1512246.html;50 905 $;1 478 246 грн;’арьков
Jaguar E-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718503.html;64 680 $;1 878 272 грн;’арьков
Jaguar E-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718491.html;58 199 $;1 690 062 грн;’арьков
Jaguar E-Pace 2.0D MT (150 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718463.html;41 776 $;1 213 157 грн;’арьков
Jaguar XF 2.0 GTDi јT (240 л.с.) RWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1601705.html;65 955 $;1 915 276 грн;’арьков
Jaguar XF 2.0 AT (200 л.с.) 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718678.html;51 125 $;1 484 626 грн;’арьков
Jaguar XF 2.0 AT (300 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1719707.html;65 054 $;1 889 118 грн;’арьков
Jaguar E-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718492.html;62 505 $;1 815 110 грн;’арьков
Jaguar E-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718497.html;70 305 $;2 041 600 грн;’арьков
Jaguar XF 2.0D i4 јT (180 л.с.) RWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1512257.html;51 454 $;1 494 196 грн;’арьков
Jaguar E-Pace 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718490.html;69 745 $;2 025 331 грн;’арьков
Jaguar XF 2.0 GTDi јT (240 л.с.) RWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1512253.html;51 894 $;1 506 956 грн;’арьков
Jaguar XE 2.0 AT (300 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1718696.html;57 738 $;1 676 664 грн;’арьков
Jaguar E-Pace 2.0 AT (300 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718504.html;58 463 $;1 697 718 грн;’арьков
Jaguar F-Pace 2.0 AT (250 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-f-pace-1718660.html;65 955 $;1 915 276 грн;’арьков
Jaguar E-Pace 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718482.html;46 324 $;1 345 223 грн;’арьков
Jaguar XF 2.0 AT (250 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xf-1718686.html;57 936 $;1 682 406 грн;’арьков
Jaguar XE 2.0D AT (180 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1483188.html;45 742 $;1 328 316 грн;’арьков
Jaguar E-Pace 2.0D AT (240 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718494.html;61 594 $;1 788 633 грн;’арьков
Jaguar XE 2.0 AT (300 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1718695.html;57 013 $;1 655 610 грн;’арьков
Jaguar E-Pace 2.0D AT (150 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-e-pace-1718470.html;54 245 $;1 575 222 грн;’арьков
Jaguar XE 2.0 AT (250 л.с.) AWD 2018;https://auto.ria.com/newauto/auto-jaguar-xe-1718668.html;52 333 $;1 519 716 грн;’арьков
